Gears Three Point
t_k, y_k, y_real
0,0,0
0.0001,0.0951597,0.0951724
0.0002,0.181274,0.181307
0.0003,0.259211,0.259264
0.0004,0.329753,0.329821
0.0005,0.393604,0.393683
0.0006,0.451399,0.451487
0.0007,0.503715,0.503809
0.0008,0.551073,0.551171
0.0009,0.593945,0.594044
0.001,0.632757,0.632857
0.0011,0.667895,0.667996
0.0012,0.699709,0.699809
0.0013,0.728516,0.728614
0.0014,0.754601,0.754697
0.0015,0.778224,0.778317
0.0016,0.799618,0.799708
0.0017,0.818995,0.819082
0.0018,0.836548,0.836632
0.0019,0.852451,0.852531
0.002,0.866859,0.866935
0.0021,0.879915,0.879988
0.0022,0.891749,0.891818
0.0023,0.902475,0.902541
0.0024,0.9122,0.912263
0.0025,0.921019,0.921078
0.0026,0.929018,0.929073
0.0027,0.936275,0.936327
0.0028,0.94286,0.942909
0.0029,0.948838,0.948884
0.003,0.954266,0.95431
0.0031,0.959197,0.959237
0.0032,0.963677,0.963715
0.0033,0.967751,0.967786
0.0034,0.971455,0.971489
0.0035,0.974826,0.974858
0.0036,0.977896,0.977925
0.0037,0.980692,0.98072
0.0038,0.983241,0.983267
0.0039,0.985567,0.985591
0.004,0.987691,0.987713
0.0041,0.989631,0.989652
0.0042,0.991406,0.991425
0.0043,0.99303,0.993049
0.0044,0.99452,0.994537
0.0045,0.995886,0.995902
0.0046,0.997141,0.997156
0.0047,0.998296,0.99831
0.0048,0.99936,0.999373
0.0049,1.00034,1.00035
0.005,1.00125,1.00126
0.0051,1.00209,1.0021
0.0052,1.00287,1.00288
0.0053,1.00359,1.0036
0.0054,1.00427,1.00427
0.0055,1.00489,1.0049
0.0056,1.00548,1.00549
0.0057,1.00603,1.00604
0.0058,1.00655,1.00656
0.0059,1.00704,1.00704
0.006,1.0075,1.0075
0.0061,1.00793,1.00794
0.0062,1.00834,1.00835
0.0063,1.00874,1.00874
0.0064,1.00911,1.00911
0.0065,1.00947,1.00947
0.0066,1.00981,1.00981
0.0067,1.01014,1.01014
0.0068,1.01045,1.01046
0.0069,1.01076,1.01076
0.007,1.01105,1.01106
0.0071,1.01134,1.01134
0.0072,1.01161,1.01162
0.0073,1.01188,1.01189
0.0074,1.01215,1.01215
0.0075,1.0124,1.01241
0.0076,1.01266,1.01266
0.0077,1.0129,1.0129
0.0078,1.01314,1.01315
0.0079,1.01338,1.01338
0.008,1.01361,1.01362
0.0081,1.01385,1.01385
0.0082,1.01407,1.01408
0.0083,1.0143,1.0143
0.0084,1.01452,1.01452
0.0085,1.01474,1.01474
0.0086,1.01496,1.01496
0.0087,1.01517,1.01518
0.0088,1.01539,1.01539
0.0089,1.0156,1.0156
0.009,1.01581,1.01581
0.0091,1.01602,1.01602
0.0092,1.01623,1.01623
0.0093,1.01644,1.01644
0.0094,1.01665,1.01665
0.0095,1.01685,1.01685
0.0096,1.01706,1.01706
0.0097,1.01726,1.01726
0.0098,1.01747,1.01747
0.0099,1.01767,1.01767
0.01,1.01787,1.01787
0.0101,1.01808,1.01808

