t, x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.325,0.000, 0.100, 0.199, 0.292, 0.360, 0.371, 0.340, 0.347, 0.359, 0.340, 0.360, 0.340, 0.359, 0.347, 0.340, 0.371, 0.360, 0.292, 0.199, 0.100, 0.000
0.350,0.000, 0.100, 0.197, 0.281, 0.324, 0.307, 0.285, 0.308, 0.299, 0.298, 0.303, 0.298, 0.299, 0.308, 0.285, 0.307, 0.324, 0.281, 0.197, 0.100, 0.000
0.375,0.000, 0.099, 0.191, 0.259, 0.273, 0.243, 0.242, 0.261, 0.241, 0.257, 0.244, 0.257, 0.241, 0.261, 0.242, 0.243, 0.273, 0.259, 0.191, 0.099, 0.000
0.400,0.000, 0.096, 0.180, 0.224, 0.211, 0.185, 0.204, 0.204, 0.192, 0.209, 0.191, 0.209, 0.192, 0.204, 0.204, 0.185, 0.211, 0.224, 0.180, 0.096, 0.000
0.425,0.000, 0.091, 0.158, 0.174, 0.146, 0.139, 0.161, 0.144, 0.151, 0.152, 0.147, 0.152, 0.151, 0.144, 0.161, 0.139, 0.146, 0.174, 0.158, 0.091, 0.000
0.450,0.000, 0.079, 0.124, 0.114, 0.086, 0.100, 0.109, 0.090, 0.108, 0.094, 0.106, 0.094, 0.108, 0.090, 0.109, 0.100, 0.086, 0.114, 0.124, 0.079, 0.000
0.475,0.000, 0.059, 0.076, 0.048, 0.037, 0.059, 0.049, 0.045, 0.058, 0.042, 0.058, 0.042, 0.058, 0.045, 0.049, 0.059, 0.037, 0.048, 0.076, 0.059, 0.000
0.500,0.000, 0.028, 0.017, -0.013, -0.004, 0.011, -0.009, 0.004, -0.000, -0.002, 0.003, -0.002, -0.000, 0.004, -0.009, 0.011, -0.004, -0.013, 0.017, 0.028, 0.000
0.525,0.000, -0.012, -0.047, -0.064, -0.043, -0.046, -0.058, -0.041, -0.057, -0.044, -0.055, -0.044, -0.057, -0.041, -0.058, -0.046, -0.043, -0.064, -0.047, -0.012, 0.000
0.550,0.000, -0.058, -0.106, -0.106, -0.088, -0.106, -0.101, -0.095, -0.107, -0.092, -0.108, -0.092, -0.107, -0.095, -0.101, -0.106, -0.088, -0.106, -0.106, -0.058, 0.000
0.575,0.000, -0.102, -0.153, -0.144, -0.143, -0.160, -0.143, -0.153, -0.150, -0.148, -0.152, -0.148, -0.150, -0.153, -0.143, -0.160, -0.143, -0.144, -0.153, -0.102, 0.000
0.600,0.000, -0.133, -0.185, -0.183, -0.201, -0.205, -0.192, -0.208, -0.193, -0.206, -0.195, -0.206, -0.193, -0.208, -0.192, -0.205, -0.201, -0.183, -0.185, -0.133, 0.000
0.625,0.000, -0.144, -0.204, -0.228, -0.256, -0.246, -0.248, -0.255, -0.243, -0.257, -0.243, -0.257, -0.243, -0.255, -0.248, -0.246, -0.256, -0.228, -0.204, -0.144, 0.000
0.650,0.000, -0.134, -0.213, -0.274, -0.302, -0.290, -0.305, -0.298, -0.300, -0.302, -0.298, -0.302, -0.300, -0.298, -0.305, -0.290, -0.302, -0.274, -0.213, -0.134, 0.000
0.675,0.000, -0.110, -0.218, -0.311, -0.337, -0.341, -0.357, -0.343, -0.356, -0.345, -0.355, -0.345, -0.356, -0.343, -0.357, -0.341, -0.337, -0.311, -0.218, -0.110, 0.000
0.700,0.000, -0.086, -0.219, -0.332, -0.367, -0.395, -0.401, -0.395, -0.406, -0.393, -0.407, -0.393, -0.406, -0.395, -0.401, -0.395, -0.367, -0.332, -0.219, -0.086, 0.000
0.725,0.000, -0.073, -0.215, -0.333, -0.395, -0.444, -0.442, -0.451, -0.450, -0.448, -0.452, -0.448, -0.450, -0.451, -0.442, -0.444, -0.395, -0.333, -0.215, -0.073, 0.000
0.750,0.000, -0.078, -0.205, -0.320, -0.420, -0.480, -0.486, -0.505, -0.494, -0.505, -0.495, -0.505, -0.494, -0.505, -0.486, -0.480, -0.420, -0.320, -0.205, -0.078, 0.000
0.775,0.000, -0.095, -0.193, -0.304, -0.435, -0.502, -0.532, -0.552, -0.543, -0.556, -0.543, -0.556, -0.543, -0.552, -0.532, -0.502, -0.435, -0.304, -0.193, -0.095, 0.000
0.800,0.000, -0.113, -0.183, -0.292, -0.434, -0.516, -0.577, -0.591, -0.598, -0.601, -0.598, -0.601, -0.598, -0.591, -0.577, -0.516, -0.434, -0.292, -0.183, -0.113, 0.000
0.825,0.000, -0.120, -0.184, -0.288, -0.418, -0.524, -0.609, -0.629, -0.652, -0.645, -0.654, -0.645, -0.652, -0.629, -0.609, -0.524, -0.418, -0.288, -0.184, -0.120, 0.000
0.850,0.000, -0.113, -0.194, -0.291, -0.396, -0.526, -0.625, -0.667, -0.698, -0.692, -0.705, -0.692, -0.698, -0.667, -0.625, -0.526, -0.396, -0.291, -0.194, -0.113, 0.000
0.875,0.000, -0.098, -0.208, -0.295, -0.381, -0.521, -0.627, -0.703, -0.735, -0.744, -0.750, -0.744, -0.735, -0.703, -0.627, -0.521, -0.381, -0.295, -0.208, -0.098, 0.000
0.900,0.000, -0.086, -0.217, -0.299, -0.379, -0.507, -0.621, -0.727, -0.766, -0.796, -0.792, -0.796, -0.766, -0.727, -0.621, -0.507, -0.379, -0.299, -0.217, -0.086, 0.000
0.925,0.000, -0.086, -0.214, -0.303, -0.390, -0.490, -0.614, -0.736, -0.795, -0.839, -0.835, -0.839, -0.795, -0.736, -0.614, -0.490, -0.390, -0.303, -0.214, -0.086, 0.000
0.950,0.000, -0.095, -0.200, -0.306, -0.404, -0.478, -0.606, -0.728, -0.820, -0.870, -0.881, -0.870, -0.820, -0.728, -0.606, -0.478, -0.404, -0.306, -0.200, -0.095, 0.000
0.975,0.000, -0.108, -0.187, -0.307, -0.412, -0.480, -0.596, -0.713, -0.835, -0.892, -0.921, -0.892, -0.835, -0.713, -0.596, -0.480, -0.412, -0.307, -0.187, -0.108, 0.000
1.000,0.000, -0.113, -0.184, -0.304, -0.411, -0.494, -0.587, -0.699, -0.833, -0.906, -0.946, -0.906, -0.833, -0.699, -0.587, -0.494, -0.411, -0.304, -0.184, -0.113, 0.000
1.025,0.000, -0.108, -0.193, -0.298, -0.404, -0.510, -0.583, -0.691, -0.816, -0.912, -0.952, -0.912, -0.816, -0.691, -0.583, -0.510, -0.404, -0.298, -0.193, -0.108, 0.000
1.050,0.000, -0.097, -0.207, -0.293, -0.397, -0.518, -0.587, -0.686, -0.792, -0.904, -0.938, -0.904, -0.792, -0.686, -0.587, -0.518, -0.397, -0.293, -0.207, -0.097, 0.000
1.075,0.000, -0.090, -0.215, -0.291, -0.394, -0.512, -0.599, -0.684, -0.770, -0.876, -0.907, -0.876, -0.770, -0.684, -0.599, -0.512, -0.394, -0.291, -0.215, -0.090, 0.000
1.100,0.000, -0.091, -0.210, -0.297, -0.395, -0.499, -0.610, -0.681, -0.753, -0.829, -0.861, -0.829, -0.753, -0.681, -0.610, -0.499, -0.395, -0.297, -0.210, -0.091, 0.000
1.125,0.000, -0.100, -0.198, -0.305, -0.398, -0.488, -0.612, -0.679, -0.737, -0.771, -0.799, -0.771, -0.737, -0.679, -0.612, -0.488, -0.398, -0.305, -0.198, -0.100, 0.000
1.150,0.000, -0.108, -0.187, -0.310, -0.400, -0.485, -0.599, -0.674, -0.715, -0.711, -0.723, -0.711, -0.715, -0.674, -0.599, -0.485, -0.400, -0.310, -0.187, -0.108, 0.000
1.175,0.000, -0.109, -0.188, -0.307, -0.401, -0.490, -0.577, -0.661, -0.682, -0.655, -0.642, -0.655, -0.682, -0.661, -0.577, -0.490, -0.401, -0.307, -0.188, -0.109, 0.000
1.200,0.000, -0.103, -0.198, -0.297, -0.400, -0.494, -0.554, -0.632, -0.637, -0.603, -0.567, -0.603, -0.637, -0.632, -0.554, -0.494, -0.400, -0.297, -0.198, -0.103, 0.000
1.225,0.000, -0.094, -0.209, -0.288, -0.397, -0.489, -0.535, -0.585, -0.582, -0.550, -0.510, -0.550, -0.582, -0.585, -0.535, -0.489, -0.397, -0.288, -0.209, -0.094, 0.000
1.250,0.000, -0.091, -0.212, -0.287, -0.390, -0.473, -0.518, -0.525, -0.520, -0.495, -0.473, -0.495, -0.520, -0.525, -0.518, -0.473, -0.390, -0.287, -0.212, -0.091, 0.000
1.275,0.000, -0.096, -0.203, -0.293, -0.378, -0.448, -0.491, -0.461, -0.453, -0.441, -0.447, -0.441, -0.453, -0.461, -0.491, -0.448, -0.378, -0.293, -0.203, -0.096, 0.000
1.300,0.000, -0.103, -0.190, -0.297, -0.362, -0.415, -0.446, -0.403, -0.384, -0.391, -0.418, -0.391, -0.384, -0.403, -0.446, -0.415, -0.362, -0.297, -0.190, -0.103, 0.000
1.325,0.000, -0.106, -0.182, -0.291, -0.343, -0.377, -0.383, -0.351, -0.323, -0.347, -0.376, -0.347, -0.323, -0.351, -0.383, -0.377, -0.343, -0.291, -0.182, -0.106, 0.000
1.350,0.000, -0.101, -0.182, -0.270, -0.320, -0.332, -0.310, -0.300, -0.274, -0.303, -0.319, -0.303, -0.274, -0.300, -0.310, -0.332, -0.320, -0.270, -0.182, -0.101, 0.000
1.375,0.000, -0.092, -0.184, -0.240, -0.287, -0.278, -0.241, -0.244, -0.239, -0.257, -0.254, -0.257, -0.239, -0.244, -0.241, -0.278, -0.287, -0.240, -0.184, -0.092, 0.000
1.400,0.000, -0.082, -0.178, -0.208, -0.240, -0.217, -0.182, -0.187, -0.210, -0.205, -0.191, -0.205, -0.210, -0.187, -0.182, -0.217, -0.240, -0.208, -0.178, -0.082, 0.000
1.425,0.000, -0.076, -0.154, -0.176, -0.180, -0.153, -0.133, -0.134, -0.174, -0.151, -0.134, -0.151, -0.174, -0.134, -0.133, -0.153, -0.180, -0.176, -0.154, -0.076, 0.000
1.450,0.000, -0.070, -0.117, -0.140, -0.112, -0.091, -0.089, -0.091, -0.122, -0.098, -0.086, -0.098, -0.122, -0.091, -0.089, -0.091, -0.112, -0.140, -0.117, -0.070, 0.000
1.475,0.000, -0.059, -0.074, -0.091, -0.045, -0.033, -0.047, -0.055, -0.056, -0.049, -0.044, -0.049, -0.056, -0.055, -0.047, -0.033, -0.045, -0.091, -0.074, -0.059, 0.000
1.500,0.000, -0.036, -0.031, -0.026, 0.013, 0.018, -0.002, -0.017, 0.012, 0.000, -0.004, 0.000, 0.012, -0.017, -0.002, 0.018, 0.013, -0.026, -0.031, -0.036, 0.000
1.525,0.000, -0.003, 0.012, 0.047, 0.063, 0.063, 0.043, 0.031, 0.070, 0.051, 0.038, 0.051, 0.070, 0.031, 0.043, 0.063, 0.063, 0.047, 0.012, -0.003, 0.000
1.550,0.000, 0.034, 0.060, 0.115, 0.108, 0.103, 0.091, 0.092, 0.113, 0.103, 0.086, 0.103, 0.113, 0.092, 0.091, 0.103, 0.108, 0.115, 0.060, 0.034, 0.000
1.575,0.000, 0.069, 0.115, 0.168, 0.155, 0.141, 0.142, 0.158, 0.149, 0.153, 0.143, 0.153, 0.149, 0.158, 0.142, 0.141, 0.155, 0.168, 0.115, 0.069, 0.000
1.600,0.000, 0.099, 0.172, 0.204, 0.201, 0.183, 0.196, 0.218, 0.188, 0.200, 0.205, 0.200, 0.188, 0.218, 0.196, 0.183, 0.201, 0.204, 0.172, 0.099, 0.000
1.625,0.000, 0.122, 0.219, 0.231, 0.243, 0.232, 0.253, 0.265, 0.238, 0.245, 0.264, 0.245, 0.238, 0.265, 0.253, 0.232, 0.243, 0.231, 0.219, 0.122, 0.000
1.650,0.000, 0.139, 0.245, 0.258, 0.280, 0.290, 0.307, 0.302, 0.296, 0.293, 0.314, 0.293, 0.296, 0.302, 0.307, 0.290, 0.280, 0.258, 0.245, 0.139, 0.000
1.675,0.000, 0.147, 0.247, 0.287, 0.314, 0.349, 0.356, 0.339, 0.355, 0.347, 0.353, 0.347, 0.355, 0.339, 0.356, 0.349, 0.314, 0.287, 0.247, 0.147, 0.000
1.700,0.000, 0.144, 0.235, 0.313, 0.350, 0.401, 0.398, 0.384, 0.408, 0.405, 0.389, 0.405, 0.408, 0.384, 0.398, 0.401, 0.350, 0.313, 0.235, 0.144, 0.000
1.725,0.000, 0.128, 0.219, 0.328, 0.390, 0.440, 0.438, 0.439, 0.454, 0.459, 0.433, 0.459, 0.454, 0.439, 0.438, 0.440, 0.390, 0.328, 0.219, 0.128, 0.000
1.750,0.000, 0.102, 0.208, 0.332, 0.427, 0.466, 0.479, 0.497, 0.498, 0.506, 0.490, 0.506, 0.498, 0.497, 0.479, 0.466, 0.427, 0.332, 0.208, 0.102, 0.000
1.775,0.000, 0.077, 0.201, 0.328, 0.450, 0.485, 0.520, 0.551, 0.544, 0.547, 0.554, 0.547, 0.544, 0.551, 0.520, 0.485, 0.450, 0.328, 0.201, 0.077, 0.000
1.800,0.000, 0.065, 0.195, 0.323, 0.451, 0.504, 0.561, 0.596, 0.592, 0.589, 0.615, 0.589, 0.592, 0.596, 0.561, 0.504, 0.451, 0.323, 0.195, 0.065, 0.000
1.825,0.000, 0.068, 0.189, 0.318, 0.433, 0.524, 0.596, 0.630, 0.640, 0.638, 0.663, 0.638, 0.640, 0.630, 0.596, 0.524, 0.433, 0.318, 0.189, 0.068, 0.000
1.850,0.000, 0.085, 0.184, 0.310, 0.410, 0.540, 0.622, 0.659, 0.686, 0.694, 0.698, 0.694, 0.686, 0.659, 0.622, 0.540, 0.410, 0.310, 0.184, 0.085, 0.000
1.875,0.000, 0.105, 0.186, 0.295, 0.394, 0.543, 0.636, 0.685, 0.726, 0.749, 0.731, 0.749, 0.726, 0.685, 0.636, 0.543, 0.394, 0.295, 0.186, 0.105, 0.000
1.900,0.000, 0.119, 0.195, 0.278, 0.390, 0.533, 0.640, 0.709, 0.763, 0.794, 0.773, 0.794, 0.763, 0.709, 0.640, 0.533, 0.390, 0.278, 0.195, 0.119, 0.000
1.925,0.000, 0.123, 0.206, 0.268, 0.394, 0.513, 0.634, 0.729, 0.793, 0.826, 0.826, 0.826, 0.793, 0.729, 0.634, 0.513, 0.394, 0.268, 0.206, 0.123, 0.000
1.950,0.000, 0.116, 0.211, 0.274, 0.396, 0.494, 0.621, 0.742, 0.816, 0.850, 0.878, 0.850, 0.816, 0.742, 0.621, 0.494, 0.396, 0.274, 0.211, 0.116, 0.000
1.975,0.000, 0.104, 0.209, 0.295, 0.392, 0.482, 0.607, 0.742, 0.829, 0.872, 0.916, 0.872, 0.829, 0.742, 0.607, 0.482, 0.392, 0.295, 0.209, 0.104, 0.000
2.000,0.000, 0.093, 0.202, 0.319, 0.387, 0.479, 0.596, 0.731, 0.830, 0.895, 0.932, 0.895, 0.830, 0.731, 0.596, 0.479, 0.387, 0.319, 0.202, 0.093, 0.000
2.025,0.000, 0.085, 0.197, 0.330, 0.387, 0.482, 0.589, 0.711, 0.824, 0.911, 0.929, 0.911, 0.824, 0.711, 0.589, 0.482, 0.387, 0.330, 0.197, 0.085, 0.000
2.050,0.000, 0.084, 0.197, 0.322, 0.397, 0.488, 0.586, 0.688, 0.810, 0.910, 0.917, 0.910, 0.810, 0.688, 0.586, 0.488, 0.397, 0.322, 0.197, 0.084, 0.000
2.075,0.000, 0.090, 0.201, 0.302, 0.412, 0.496, 0.584, 0.671, 0.791, 0.886, 0.901, 0.886, 0.791, 0.671, 0.584, 0.496, 0.412, 0.302, 0.201, 0.090, 0.000
2.100,0.000, 0.102, 0.202, 0.284, 0.419, 0.504, 0.582, 0.662, 0.766, 0.842, 0.878, 0.842, 0.766, 0.662, 0.582, 0.504, 0.419, 0.284, 0.202, 0.102, 0.000
2.125,0.000, 0.113, 0.198, 0.279, 0.414, 0.511, 0.580, 0.659, 0.733, 0.788, 0.836, 0.788, 0.733, 0.659, 0.580, 0.511, 0.414, 0.279, 0.198, 0.113, 0.000
2.150,0.000, 0.117, 0.194, 0.288, 0.400, 0.511, 0.581, 0.655, 0.696, 0.733, 0.770, 0.733, 0.696, 0.655, 0.581, 0.511, 0.400, 0.288, 0.194, 0.117, 0.000
2.175,0.000, 0.111, 0.193, 0.301, 0.385, 0.500, 0.582, 0.642, 0.657, 0.677, 0.686, 0.677, 0.657, 0.642, 0.582, 0.500, 0.385, 0.301, 0.193, 0.111, 0.000
2.200,0.000, 0.098, 0.199, 0.308, 0.378, 0.481, 0.579, 0.619, 0.620, 0.619, 0.597, 0.619, 0.620, 0.619, 0.579, 0.481, 0.378, 0.308, 0.199, 0.098, 0.000
2.225,0.000, 0.086, 0.207, 0.306, 0.379, 0.461, 0.560, 0.585, 0.582, 0.556, 0.519, 0.556, 0.582, 0.585, 0.560, 0.461, 0.379, 0.306, 0.207, 0.086, 0.000
2.250,0.000, 0.083, 0.210, 0.297, 0.383, 0.445, 0.524, 0.545, 0.539, 0.490, 0.460, 0.490, 0.539, 0.545, 0.524, 0.445, 0.383, 0.297, 0.210, 0.083, 0.000
2.275,0.000, 0.090, 0.202, 0.288, 0.381, 0.433, 0.473, 0.498, 0.484, 0.428, 0.415, 0.428, 0.484, 0.498, 0.473, 0.433, 0.381, 0.288, 0.202, 0.090, 0.000
2.300,0.000, 0.104, 0.188, 0.280, 0.368, 0.418, 0.418, 0.441, 0.420, 0.378, 0.377, 0.378, 0.420, 0.441, 0.418, 0.418, 0.368, 0.280, 0.188, 0.104, 0.000
2.325,0.000, 0.112, 0.176, 0.272, 0.346, 0.391, 0.369, 0.373, 0.350, 0.338, 0.340, 0.338, 0.350, 0.373, 0.369, 0.391, 0.346, 0.272, 0.176, 0.112, 0.000
2.350,0.000, 0.108, 0.172, 0.258, 0.317, 0.346, 0.327, 0.298, 0.282, 0.301, 0.301, 0.301, 0.282, 0.298, 0.327, 0.346, 0.317, 0.258, 0.172, 0.108, 0.000
2.375,0.000, 0.093, 0.173, 0.237, 0.280, 0.290, 0.282, 0.227, 0.224, 0.259, 0.262, 0.259, 0.224, 0.227, 0.282, 0.290, 0.280, 0.237, 0.173, 0.093, 0.000
2.400,0.000, 0.075, 0.171, 0.211, 0.235, 0.229, 0.225, 0.168, 0.175, 0.210, 0.222, 0.210, 0.175, 0.168, 0.225, 0.229, 0.235, 0.211, 0.171, 0.075, 0.000
2.425,0.000, 0.062, 0.155, 0.181, 0.182, 0.169, 0.156, 0.126, 0.133, 0.155, 0.176, 0.155, 0.133, 0.126, 0.156, 0.169, 0.182, 0.181, 0.155, 0.062, 0.000
2.450,0.000, 0.057, 0.122, 0.145, 0.126, 0.108, 0.081, 0.092, 0.095, 0.099, 0.119, 0.099, 0.095, 0.092, 0.081, 0.108, 0.126, 0.145, 0.122, 0.057, 0.000
2.475,0.000, 0.053, 0.078, 0.098, 0.070, 0.046, 0.017, 0.057, 0.057, 0.048, 0.052, 0.048, 0.057, 0.057, 0.017, 0.046, 0.070, 0.098, 0.078, 0.053, 0.000
2.500,0.000, 0.043, 0.034, 0.039, 0.015, -0.018, -0.030, 0.012, 0.017, -0.000, -0.017, -0.000, 0.017, 0.012, -0.030, -0.018, 0.015, 0.039, 0.034, 0.043, 0.000
2.525,0.000, 0.019, -0.007, -0.027, -0.042, -0.076, -0.064, -0.043, -0.029, -0.048, -0.078, -0.048, -0.029, -0.043, -0.064, -0.076, -0.042, -0.027, -0.007, 0.019, 0.000
2.550,0.000, -0.015, -0.046, -0.092, -0.104, -0.123, -0.095, -0.099, -0.083, -0.098, -0.124, -0.098, -0.083, -0.099, -0.095, -0.123, -0.104, -0.092, -0.046, -0.015, 0.000
2.575,0.000, -0.054, -0.089, -0.149, -0.168, -0.159, -0.135, -0.150, -0.145, -0.151, -0.157, -0.151, -0.145, -0.150, -0.135, -0.159, -0.168, -0.149, -0.089, -0.054, 0.000
2.600,0.000, -0.088, -0.138, -0.195, -0.224, -0.190, -0.184, -0.196, -0.210, -0.204, -0.188, -0.204, -0.210, -0.196, -0.184, -0.190, -0.224, -0.195, -0.138, -0.088, 0.000
2.625,0.000, -0.113, -0.189, -0.235, -0.265, -0.229, -0.238, -0.243, -0.270, -0.254, -0.226, -0.254, -0.270, -0.243, -0.238, -0.229, -0.265, -0.235, -0.189, -0.113, 0.000
2.650,0.000, -0.128, -0.232, -0.271, -0.289, -0.279, -0.291, -0.295, -0.319, -0.301, -0.279, -0.301, -0.319, -0.295, -0.291, -0.279, -0.289, -0.271, -0.232, -0.128, 0.000
2.675,0.000, -0.137, -0.259, -0.301, -0.306, -0.334, -0.341, -0.352, -0.358, -0.348, -0.342, -0.348, -0.358, -0.352, -0.341, -0.334, -0.306, -0.301, -0.259, -0.137, 0.000
2.700,0.000, -0.143, -0.266, -0.323, -0.329, -0.385, -0.393, -0.408, -0.392, -0.395, -0.409, -0.395, -0.392, -0.408, -0.393, -0.385, -0.329, -0.323, -0.266, -0.143, 0.000
2.725,0.000, -0.143, -0.256, -0.331, -0.364, -0.423, -0.446, -0.456, -0.431, -0.445, -0.468, -0.445, -0.431, -0.456, -0.446, -0.423, -0.364, -0.331, -0.256, -0.143, 0.000
2.750,0.000, -0.136, -0.237, -0.329, -0.406, -0.453, -0.496, -0.496, -0.480, -0.498, -0.516, -0.498, -0.480, -0.496, -0.496, -0.453, -0.406, -0.329, -0.237, -0.136, 0.000
2.775,0.000, -0.120, -0.216, -0.323, -0.440, -0.481, -0.535, -0.532, -0.537, -0.550, -0.555, -0.550, -0.537, -0.532, -0.535, -0.481, -0.440, -0.323, -0.216, -0.120, 0.000
2.800,0.000, -0.098, -0.198, -0.320, -0.456, -0.513, -0.560, -0.570, -0.596, -0.601, -0.591, -0.601, -0.596, -0.570, -0.560, -0.513, -0.456, -0.320, -0.198, -0.098, 0.000
2.825,0.000, -0.076, -0.185, -0.320, -0.452, -0.542, -0.575, -0.612, -0.650, -0.648, -0.632, -0.648, -0.650, -0.612, -0.575, -0.542, -0.452, -0.320, -0.185, -0.076, 0.000
2.850,0.000, -0.063, -0.179, -0.319, -0.437, -0.557, -0.592, -0.654, -0.694, -0.691, -0.681, -0.691, -0.694, -0.654, -0.592, -0.557, -0.437, -0.319, -0.179, -0.063, 0.000
2.875,0.000, -0.062, -0.179, -0.313, -0.423, -0.550, -0.615, -0.691, -0.727, -0.733, -0.735, -0.733, -0.727, -0.691, -0.615, -0.550, -0.423, -0.313, -0.179, -0.062, 0.000
2.900,0.000, -0.075, -0.183, -0.301, -0.413, -0.528, -0.641, -0.718, -0.753, -0.774, -0.788, -0.774, -0.753, -0.718, -0.641, -0.528, -0.413, -0.301, -0.183, -0.075, 0.000
2.925,0.000, -0.097, -0.190, -0.287, -0.404, -0.505, -0.658, -0.734, -0.775, -0.813, -0.834, -0.813, -0.775, -0.734, -0.658, -0.505, -0.404, -0.287, -0.190, -0.097, 0.000
2.950,0.000, -0.117, -0.197, -0.279, -0.391, -0.495, -0.656, -0.742, -0.797, -0.848, -0.869, -0.848, -0.797, -0.742, -0.656, -0.495, -0.391, -0.279, -0.197, -0.117, 0.000
2.975,0.000, -0.128, -0.206, -0.278, -0.376, -0.499, -0.635, -0.742, -0.817, -0.875, -0.893, -0.875, -0.817, -0.742, -0.635, -0.499, -0.376, -0.278, -0.206, -0.128, 0.000
3.000,0.000, -0.127, -0.212, -0.283, -0.367, -0.506, -0.607, -0.734, -0.833, -0.893, -0.909, -0.893, -0.833, -0.734, -0.607, -0.506, -0.367, -0.283, -0.212, -0.127, 0.000
3.025,0.000, -0.115, -0.216, -0.292, -0.373, -0.504, -0.585, -0.719, -0.839, -0.899, -0.916, -0.899, -0.839, -0.719, -0.585, -0.504, -0.373, -0.292, -0.216, -0.115, 0.000
3.050,0.000, -0.100, -0.213, -0.302, -0.391, -0.489, -0.577, -0.701, -0.830, -0.895, -0.915, -0.895, -0.830, -0.701, -0.577, -0.489, -0.391, -0.302, -0.213, -0.100, 0.000
3.075,0.000, -0.088, -0.204, -0.311, -0.411, -0.471, -0.577, -0.684, -0.805, -0.880, -0.904, -0.880, -0.805, -0.684, -0.577, -0.471, -0.411, -0.311, -0.204, -0.088, 0.000
3.100,0.000, -0.083, -0.193, -0.319, -0.421, -0.465, -0.578, -0.671, -0.769, -0.852, -0.881, -0.852, -0.769, -0.671, -0.578, -0.465, -0.421, -0.319, -0.193, -0.083, 0.000
3.125,0.000, -0.085, -0.186, -0.321, -0.417, -0.476, -0.574, -0.659, -0.728, -0.810, -0.843, -0.810, -0.728, -0.659, -0.574, -0.476, -0.417, -0.321, -0.186, -0.085, 0.000
3.150,0.000, -0.091, -0.187, -0.313, -0.404, -0.497, -0.566, -0.643, -0.691, -0.756, -0.789, -0.756, -0.691, -0.643, -0.566, -0.497, -0.404, -0.313, -0.187, -0.091, 0.000
3.175,0.000, -0.098, -0.196, -0.296, -0.391, -0.512, -0.561, -0.620, -0.658, -0.695, -0.719, -0.695, -0.658, -0.620, -0.561, -0.512, -0.391, -0.296, -0.196, -0.098, 0.000
